tf.Tensor(-2.1908853, shape=(), dtype=float32)
tf.Tensor(-2.343161, shape=(), dtype=float32)
tf.Tensor(-1.565997, shape=(), dtype=float32)
tf.Tensor(-1.5228894, shape=(), dtype=float32)
tf.Tensor(-2.0384512, shape=(), dtype=float32)
tf.Tensor(-2.0899882, shape=(), dtype=float32)
tf.Tensor(-2.0515513, shape=(), dtype=float32)
tf.Tensor(-2.1439435, shape=(), dtype=float32)
tf.Tensor(-1.205729, shape=(), dtype=float32)
tf.Tensor(-2.0287967, shape=(), dtype=float32)
tf.Tensor(-2.056808, shape=(), dtype=float32)
tf.Tensor(-1.6827617, shape=(), dtype=float32)
tf.Tensor(-1.9968528, shape=(), dtype=float32)
tf.Tensor(-2.1017907, shape=(), dtype=float32)
tf.Tensor(-2.014573, shape=(), dtype=float32)
tf.Tensor(-2.1218705, shape=(), dtype=float32)
tf.Tensor(-2.2054543, shape=(), dtype=float32)
tf.Tensor(-2.1099193, shape=(), dtype=float32)
tf.Tensor(-2.1178756, shape=(), dtype=float32)
tf.Tensor(-2.093523, shape=(), dtype=float32)
tf.Tensor(-1.1507125, shape=(), dtype=float32)
tf.Tensor(-2.18835, shape=(), dtype=float32)
tf.Tensor(-2.231694, shape=(), dtype=float32)
tf.Tensor(-2.1694994, shape=(), dtype=float32)
tf.Tensor(-1.3138062, shape=(), dtype=float32)
tf.Tensor(-1.5657043, shape=(), dtype=float32)
tf.Tensor(-1.9632761, shape=(), dtype=float32)
tf.Tensor(-2.0019572, shape=(), dtype=float32)
tf.Tensor(-2.078298, shape=(), dtype=float32)
tf.Tensor(-2.0983562, shape=(), dtype=float32)
tf.Tensor(-1.819025, shape=(), dtype=float32)
tf.Tensor(-2.013678, shape=(), dtype=float32)
tf.Tensor(-2.0546303, shape=(), dtype=float32)
tf.Tensor(-1.422785, shape=(), dtype=float32)
tf.Tensor(-2.0152664, shape=(), dtype=float32)
tf.Tensor(-1.9677551, shape=(), dtype=float32)
tf.Tensor(-2.1270525, shape=(), dtype=float32)
tf.Tensor(-2.0769951, shape=(), dtype=float32)
tf.Tensor(-2.208201, shape=(), dtype=float32)
tf.Tensor(-2.220804, shape=(), dtype=float32)
tf.Tensor(-2.1519446, shape=(), dtype=float32)
tf.Tensor(-1.3019061, shape=(), dtype=float32)
tf.Tensor(-2.1811574, shape=(), dtype=float32)
tf.Tensor(-2.0329638, shape=(), dtype=float32)
tf.Tensor(-2.06461, shape=(), dtype=float32)
tf.Tensor(-2.193639, shape=(), dtype=float32)
tf.Tensor(-1.8316813, shape=(), dtype=float32)
tf.Tensor(-2.036995, shape=(), dtype=float32)
tf.Tensor(-2.0818334, shape=(), dtype=float32)
tf.Tensor(-2.078962, shape=(), dtype=float32)
tf.Tensor(-2.0711896, shape=(), dtype=float32)
tf.Tensor(-1.6782761, shape=(), dtype=float32)
tf.Tensor(-2.1258025, shape=(), dtype=float32)
tf.Tensor(-2.073101, shape=(), dtype=float32)
tf.Tensor(-2.205785, shape=(), dtype=float32)
tf.Tensor(-1.7261779, shape=(), dtype=float32)
tf.Tensor(-2.100754, shape=(), dtype=float32)
tf.Tensor(-2.1262267, shape=(), dtype=float32)
tf.Tensor(-2.1378741, shape=(), dtype=float32)
tf.Tensor(-2.0170546, shape=(), dtype=float32)
tf.Tensor(-2.0707397, shape=(), dtype=float32)
tf.Tensor(-1.9595221, shape=(), dtype=float32)
tf.Tensor(-2.1027231, shape=(), dtype=float32)
tf.Tensor(-2.2119503, shape=(), dtype=float32)
tf.Tensor(-2.1260042, shape=(), dtype=float32)
tf.Tensor(-2.1211514, shape=(), dtype=float32)
tf.Tensor(-2.1361709, shape=(), dtype=float32)
tf.Tensor(-1.9608244, shape=(), dtype=float32)
tf.Tensor(-2.2227736, shape=(), dtype=float32)
tf.Tensor(-2.0986395, shape=(), dtype=float32)
tf.Tensor(-2.2694046, shape=(), dtype=float32)
tf.Tensor(-1.7487692, shape=(), dtype=float32)
tf.Tensor(-2.2237544, shape=(), dtype=float32)
tf.Tensor(-1.2552814, shape=(), dtype=float32)
tf.Tensor(-2.1390495, shape=(), dtype=float32)
tf.Tensor(-1.7172575, shape=(), dtype=float32)
tf.Tensor(-2.2338133, shape=(), dtype=float32)
tf.Tensor(-1.1958355, shape=(), dtype=float32)
tf.Tensor(-1.0593287, shape=(), dtype=float32)
tf.Tensor(-1.4854155, shape=(), dtype=float32)
tf.Tensor(-1.9162958, shape=(), dtype=float32)
tf.Tensor(-1.6931396, shape=(), dtype=float32)
tf.Tensor(-1.7150588, shape=(), dtype=float32)
tf.Tensor(-1.8691094, shape=(), dtype=float32)
tf.Tensor(-1.8851261, shape=(), dtype=float32)
tf.Tensor(-1.7240613, shape=(), dtype=float32)
tf.Tensor(-1.4132843, shape=(), dtype=float32)
tf.Tensor(-1.9104993, shape=(), dtype=float32)
tf.Tensor(-1.6767064, shape=(), dtype=float32)
tf.Tensor(-1.8941199, shape=(), dtype=float32)
tf.Tensor(-2.0045586, shape=(), dtype=float32)
tf.Tensor(-0.9758253, shape=(), dtype=float32)
tf.Tensor(-1.9925362, shape=(), dtype=float32)
tf.Tensor(-1.9138944, shape=(), dtype=float32)
tf.Tensor(-1.4343641, shape=(), dtype=float32)
tf.Tensor(-2.0004456, shape=(), dtype=float32)
tf.Tensor(-2.120272, shape=(), dtype=float32)
tf.Tensor(-2.0478778, shape=(), dtype=float32)
tf.Tensor(-2.153439, shape=(), dtype=float32)
tf.Tensor(-1.2989478, shape=(), dtype=float32)
tf.Tensor(-2.112053, shape=(), dtype=float32)
tf.Tensor(-2.100443, shape=(), dtype=float32)
tf.Tensor(-1.9773839, shape=(), dtype=float32)
tf.Tensor(-2.0969696, shape=(), dtype=float32)
tf.Tensor(-1.8930111, shape=(), dtype=float32)
tf.Tensor(-2.1152978, shape=(), dtype=float32)
tf.Tensor(-0.102362484, shape=(), dtype=float32)
tf.Tensor(-2.1409512, shape=(), dtype=float32)
tf.Tensor(-1.9845116, shape=(), dtype=float32)
tf.Tensor(-1.0721776, shape=(), dtype=float32)
tf.Tensor(-2.081555, shape=(), dtype=float32)
tf.Tensor(-2.0894718, shape=(), dtype=float32)
tf.Tensor(-2.0641136, shape=(), dtype=float32)
tf.Tensor(-1.9322295, shape=(), dtype=float32)
tf.Tensor(-2.1156921, shape=(), dtype=float32)
tf.Tensor(-1.8787489, shape=(), dtype=float32)
tf.Tensor(-2.096148, shape=(), dtype=float32)
tf.Tensor(-2.0425131, shape=(), dtype=float32)
tf.Tensor(-1.9666516, shape=(), dtype=float32)
tf.Tensor(-2.0283828, shape=(), dtype=float32)
tf.Tensor(-1.948343, shape=(), dtype=float32)
tf.Tensor(-2.1462855, shape=(), dtype=float32)
tf.Tensor(-1.6710117, shape=(), dtype=float32)
tf.Tensor(-2.171082, shape=(), dtype=float32)
tf.Tensor(-1.9657513, shape=(), dtype=float32)
tf.Tensor(-2.1143146, shape=(), dtype=float32)
tf.Tensor(-2.0789318, shape=(), dtype=float32)
tf.Tensor(-2.1147745, shape=(), dtype=float32)
tf.Tensor(-1.3560375, shape=(), dtype=float32)
tf.Tensor(-2.0984035, shape=(), dtype=float32)
tf.Tensor(-2.0902858, shape=(), dtype=float32)
tf.Tensor(-2.146152, shape=(), dtype=float32)
tf.Tensor(-2.1496637, shape=(), dtype=float32)
tf.Tensor(-2.1181931, shape=(), dtype=float32)
tf.Tensor(-2.0983596, shape=(), dtype=float32)
tf.Tensor(-1.9541909, shape=(), dtype=float32)
tf.Tensor(-2.1672325, shape=(), dtype=float32)
tf.Tensor(-2.1762376, shape=(), dtype=float32)
tf.Tensor(-2.169681, shape=(), dtype=float32)
tf.Tensor(-2.25431, shape=(), dtype=float32)
tf.Tensor(-2.2439215, shape=(), dtype=float32)
tf.Tensor(-2.15553, shape=(), dtype=float32)
tf.Tensor(-1.5745574, shape=(), dtype=float32)
tf.Tensor(-2.1945632, shape=(), dtype=float32)
tf.Tensor(-2.1590135, shape=(), dtype=float32)
tf.Tensor(-2.201929, shape=(), dtype=float32)
tf.Tensor(-2.2420754, shape=(), dtype=float32)
tf.Tensor(-2.156334, shape=(), dtype=float32)
tf.Tensor(-0.65950984, shape=(), dtype=float32)
tf.Tensor(-1.9436936, shape=(), dtype=float32)
tf.Tensor(-2.167999, shape=(), dtype=float32)
tf.Tensor(-2.031967, shape=(), dtype=float32)
tf.Tensor(-1.9653826, shape=(), dtype=float32)
tf.Tensor(-2.124118, shape=(), dtype=float32)
tf.Tensor(-2.0113668, shape=(), dtype=float32)
tf.Tensor(-2.0578074, shape=(), dtype=float32)
tf.Tensor(-2.0828454, shape=(), dtype=float32)
tf.Tensor(-1.8961251, shape=(), dtype=float32)
tf.Tensor(-1.3847041, shape=(), dtype=float32)
tf.Tensor(-2.056068, shape=(), dtype=float32)
tf.Tensor(-2.157902, shape=(), dtype=float32)
tf.Tensor(-2.202499, shape=(), dtype=float32)
tf.Tensor(-2.1428294, shape=(), dtype=float32)
tf.Tensor(-2.0966446, shape=(), dtype=float32)
tf.Tensor(-2.1113648, shape=(), dtype=float32)
tf.Tensor(-1.6616273, shape=(), dtype=float32)
tf.Tensor(-0.75527966, shape=(), dtype=float32)
tf.Tensor(-1.9957728, shape=(), dtype=float32)
tf.Tensor(-2.0890517, shape=(), dtype=float32)
tf.Tensor(-1.7748667, shape=(), dtype=float32)
tf.Tensor(-1.7702903, shape=(), dtype=float32)
tf.Tensor(-0.93327916, shape=(), dtype=float32)
tf.Tensor(-2.142027, shape=(), dtype=float32)
tf.Tensor(-1.6581638, shape=(), dtype=float32)
tf.Tensor(-0.29151082, shape=(), dtype=float32)
tf.Tensor(-2.2202597, shape=(), dtype=float32)
tf.Tensor(-2.038824, shape=(), dtype=float32)
tf.Tensor(-2.0451827, shape=(), dtype=float32)
tf.Tensor(-1.8938645, shape=(), dtype=float32)
tf.Tensor(-1.9249988, shape=(), dtype=float32)
tf.Tensor(-1.9601637, shape=(), dtype=float32)
tf.Tensor(-2.035993, shape=(), dtype=float32)
tf.Tensor(-2.0985007, shape=(), dtype=float32)
tf.Tensor(-1.9752045, shape=(), dtype=float32)
tf.Tensor(-1.7950555, shape=(), dtype=float32)
tf.Tensor(-2.0419254, shape=(), dtype=float32)
tf.Tensor(-2.0511274, shape=(), dtype=float32)
tf.Tensor(-2.0672922, shape=(), dtype=float32)
tf.Tensor(-2.0435574, shape=(), dtype=float32)
tf.Tensor(-1.628339, shape=(), dtype=float32)
tf.Tensor(-2.182583, shape=(), dtype=float32)
tf.Tensor(-2.044506, shape=(), dtype=float32)
tf.Tensor(-2.0951731, shape=(), dtype=float32)
tf.Tensor(-1.9087582, shape=(), dtype=float32)
tf.Tensor(-2.2399163, shape=(), dtype=float32)
tf.Tensor(-2.1853251, shape=(), dtype=float32)
tf.Tensor(-2.163909, shape=(), dtype=float32)
tf.Tensor(-2.2919884, shape=(), dtype=float32)
tf.Tensor(-2.220518, shape=(), dtype=float32)
tf.Tensor(-2.2328863, shape=(), dtype=float32)
